School,Year,Source,Target
College of Engineering and Applied Sciences,Class of 2020,Sam_Fox,56
College of Engineering and Applied Sciences,Class of 2020,Northest_Corner,56
College of Engineering and Applied Sciences,Class of 2020,56,DUC
College of Engineering and Applied Sciences,Class of 2020,56,Holmes
College of Engineering and Applied Sciences,Class of 2020,56,Stanleys
College of Engineering and Applied Sciences,Class of 2020,56,Whispers
College of Arts and Sciences,Class of 2021,South_40,57
College of Arts and Sciences,Class of 2021,57,BD
College of Arts and Sciences,Class of 2021,57,DUC
College of Arts and Sciences,Class of 2021,57,Einsteins
College of Arts and Sciences,Class of 2021,57,Off_Campus
College of Arts and Sciences,Class of 2021,Village,57
College of Arts and Sciences,Class of 2021,57,DUC
College of Arts and Sciences,Class of 2021,57,Einsteins
College of Arts and Sciences,Class of 2021,AC_Frat_Row,57
College of Arts and Sciences,Class of 2021,57,DUC
College of Arts and Sciences,Class of 2021,57,Einsteins
College of Arts and Sciences,Class of 2021,Bauer_Law_School,57
College of Arts and Sciences,Class of 2021,57,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2021,57,DUC
College of Arts and Sciences,Class of 2021,DUC_Area,57
College of Arts and Sciences,Class of 2021,57,DUC
College of Arts and Sciences,Class of 2021,Bio_Psych,57
College of Arts and Sciences,Class of 2021,57,DUC
College of Arts and Sciences,Class of 2021,57,Einsteins
College of Arts and Sciences,Class of 2021,Chemistry,57
College of Arts and Sciences,Class of 2021,Engineering_Quad,57
College of Arts and Sciences,Class of 2021,Brookings_Quad,57
College of Arts and Sciences,Class of 2021,Brown_School,57
College of Arts and Sciences,Class of 2021,57,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2021,57,DUC
College of Arts and Sciences,Class of 2021,Sam_Fox,57
College of Arts and Sciences,Class of 2021,Northest_Corner,57
College of Engineering and Applied Sciences,Class of 2022,South_40,58
College of Engineering and Applied Sciences,Class of 2022,58,BD
College of Engineering and Applied Sciences,Class of 2022,Village,58
College of Engineering and Applied Sciences,Class of 2022,58,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,58,Village_Dining
College of Engineering and Applied Sciences,Class of 2022,AC_Frat_Row,58
College of Engineering and Applied Sciences,Class of 2022,58,DUC
College of Engineering and Applied Sciences,Class of 2022,58,Einsteins
College of Engineering and Applied Sciences,Class of 2022,58,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,Bauer_Law_School,58
College of Engineering and Applied Sciences,Class of 2022,DUC_Area,58
College of Engineering and Applied Sciences,Class of 2022,58,DUC
College of Engineering and Applied Sciences,Class of 2022,58,Einsteins
College of Engineering and Applied Sciences,Class of 2022,58,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2022,Bio_Psych,58
College of Engineering and Applied Sciences,Class of 2022,58,DUC
College of Engineering and Applied Sciences,Class of 2022,Chemistry,58
College of Engineering and Applied Sciences,Class of 2022,Engineering_Quad,58
College of Engineering and Applied Sciences,Class of 2022,58,DUC
College of Engineering and Applied Sciences,Class of 2022,58,Holmes
College of Engineering and Applied Sciences,Class of 2022,58,Loop_Dining
College of Engineering and Applied Sciences,Class of 2022,58,Stanleys
College of Engineering and Applied Sciences,Class of 2022,Brookings_Quad,58
College of Engineering and Applied Sciences,Class of 2022,Brown_School,58
College of Engineering and Applied Sciences,Class of 2022,Sam_Fox,58
College of Engineering and Applied Sciences,Class of 2022,Northest_Corner,58
College of Arts and Sciences,Class of 2019,South_40,59
College of Arts and Sciences,Class of 2019,59,BD
College of Arts and Sciences,Class of 2019,59,DUC
College of Arts and Sciences,Class of 2019,Village,59
College of Arts and Sciences,Class of 2019,59,DUC
College of Arts and Sciences,Class of 2019,59,Village_Dining
College of Arts and Sciences,Class of 2019,AC_Frat_Row,59
College of Arts and Sciences,Class of 2019,59,BD
College of Arts and Sciences,Class of 2019,59,DUC
College of Arts and Sciences,Class of 2019,Bauer_Law_School,59
College of Arts and Sciences,Class of 2019,59,BD
College of Arts and Sciences,Class of 2019,59,DUC
College of Arts and Sciences,Class of 2019,DUC_Area,59
College of Arts and Sciences,Class of 2019,59,BD
College of Arts and Sciences,Class of 2019,59,DUC
College of Arts and Sciences,Class of 2019,Bio_Psych,59
College of Arts and Sciences,Class of 2019,Chemistry,59
College of Arts and Sciences,Class of 2019,Engineering_Quad,59
