School,Year,Source,Target
College of Arts and Sciences,Class of 2022,Chemistry,72
College of Arts and Sciences,Class of 2022,Engineering_Quad,72
College of Arts and Sciences,Class of 2022,Brookings_Quad,72
College of Arts and Sciences,Class of 2022,72,Holmes
College of Arts and Sciences,Class of 2022,72,Subway
College of Arts and Sciences,Class of 2022,Brown_School,72
College of Arts and Sciences,Class of 2022,72,Holmes
College of Arts and Sciences,Class of 2022,72,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Sam_Fox,72
College of Arts and Sciences,Class of 2022,Northest_Corner,72
College of Arts and Sciences,Class of 2022,South_40,73
College of Arts and Sciences,Class of 2022,73,BD
College of Arts and Sciences,Class of 2022,Village,73
College of Arts and Sciences,Class of 2022,73,BD
College of Arts and Sciences,Class of 2022,AC_Frat_Row,73
College of Arts and Sciences,Class of 2022,73,BD
College of Arts and Sciences,Class of 2022,73,DUC
College of Arts and Sciences,Class of 2022,Bauer_Law_School,73
College of Arts and Sciences,Class of 2022,DUC_Area,73
College of Arts and Sciences,Class of 2022,73,DUC
College of Arts and Sciences,Class of 2022,Bio_Psych,73
College of Arts and Sciences,Class of 2022,Chemistry,73
College of Arts and Sciences,Class of 2022,73,DUC
College of Arts and Sciences,Class of 2022,Engineering_Quad,73
College of Arts and Sciences,Class of 2022,Brookings_Quad,73
College of Arts and Sciences,Class of 2022,73,DUC
College of Arts and Sciences,Class of 2022,Brown_School,73
College of Arts and Sciences,Class of 2022,Sam_Fox,73
College of Arts and Sciences,Class of 2022,Northest_Corner,73
College of Arts and Sciences,Class of 2022,South_40,74
College of Arts and Sciences,Class of 2022,74,BD
College of Arts and Sciences,Class of 2022,Village,74
College of Arts and Sciences,Class of 2022,74,Off_Campus
College of Arts and Sciences,Class of 2022,74,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,AC_Frat_Row,74
College of Arts and Sciences,Class of 2022,74,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Bauer_Law_School,74
College of Arts and Sciences,Class of 2022,74,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,DUC_Area,74
College of Arts and Sciences,Class of 2022,74,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Bio_Psych,74
College of Arts and Sciences,Class of 2022,74,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Chemistry,74
College of Arts and Sciences,Class of 2022,74,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Engineering_Quad,74
College of Arts and Sciences,Class of 2022,Brookings_Quad,74
College of Arts and Sciences,Class of 2022,74,Whispers
College of Arts and Sciences,Class of 2022,Brown_School,74
College of Arts and Sciences,Class of 2022,74,Hillman
College of Arts and Sciences,Class of 2022,Sam_Fox,74
College of Arts and Sciences,Class of 2022,Northest_Corner,74
College of Arts and Sciences,Class of 2022,South_40,75
College of Arts and Sciences,Class of 2022,75,BD
College of Arts and Sciences,Class of 2022,75,DUC
College of Arts and Sciences,Class of 2022,75,Einsteins
College of Arts and Sciences,Class of 2022,75,Ettas
College of Arts and Sciences,Class of 2022,75,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,75,Village_Dining
College of Arts and Sciences,Class of 2022,Village,75
College of Arts and Sciences,Class of 2022,75,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,75,Village_Dining
College of Arts and Sciences,Class of 2022,AC_Frat_Row,75
College of Arts and Sciences,Class of 2022,75,DUC
College of Arts and Sciences,Class of 2022,75,Village_Dining
College of Arts and Sciences,Class of 2022,Bauer_Law_School,75
College of Arts and Sciences,Class of 2022,75,DUC
College of Arts and Sciences,Class of 2022,75,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,DUC_Area,75
College of Arts and Sciences,Class of 2022,75,DUC
College of Arts and Sciences,Class of 2022,75,Holmes
College of Arts and Sciences,Class of 2022,Bio_Psych,75
College of Arts and Sciences,Class of 2022,Chemistry,75
College of Arts and Sciences,Class of 2022,Engineering_Quad,75
College of Arts and Sciences,Class of 2022,Brookings_Quad,75
College of Arts and Sciences,Class of 2022,75,DUC
College of Arts and Sciences,Class of 2022,75,Holmes
College of Arts and Sciences,Class of 2022,75,Whispers
College of Arts and Sciences,Class of 2022,Brown_School,75
College of Arts and Sciences,Class of 2022,Sam_Fox,75
College of Arts and Sciences,Class of 2022,75,DUC
College of Arts and Sciences,Class of 2022,75,Ettas
College of Arts and Sciences,Class of 2022,75,Hillman
College of Arts and Sciences,Class of 2022,75,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Northest_Corner,75
College of Arts and Sciences,Class of 2021,South_40,76
College of Arts and Sciences,Class of 2021,76,BD
College of Arts and Sciences,Class of 2021,Village,76
College of Arts and Sciences,Class of 2021,76,Village_Dining
College of Arts and Sciences,Class of 2021,AC_Frat_Row,76
College of Arts and Sciences,Class of 2021,76,DUC
College of Arts and Sciences,Class of 2021,76,Holmes
College of Arts and Sciences,Class of 2021,76,Whispers
College of Arts and Sciences,Class of 2021,Bauer_Law_School,76
College of Arts and Sciences,Class of 2021,DUC_Area,76
College of Arts and Sciences,Class of 2021,76,DUC
College of Arts and Sciences,Class of 2021,76,Einsteins
College of Arts and Sciences,Class of 2021,76,Holmes
College of Arts and Sciences,Class of 2021,76,Whispers
College of Arts and Sciences,Class of 2021,Bio_Psych,76
College of Arts and Sciences,Class of 2021,76,Hillman
College of Arts and Sciences,Class of 2021,76,Holmes
College of Arts and Sciences,Class of 2021,76,Whispers
College of Arts and Sciences,Class of 2021,Chemistry,76
College of Arts and Sciences,Class of 2021,76,DUC
College of Arts and Sciences,Class of 2021,76,Hillman
College of Arts and Sciences,Class of 2021,76,Holmes
College of Arts and Sciences,Class of 2021,76,Whispers
College of Arts and Sciences,Class of 2021,Engineering_Quad,76
College of Arts and Sciences,Class of 2021,Brookings_Quad,76
College of Arts and Sciences,Class of 2021,76,Hillman
College of Arts and Sciences,Class of 2021,76,Whispers
College of Arts and Sciences,Class of 2021,Brown_School,76
College of Arts and Sciences,Class of 2021,76,Hillman
College of Arts and Sciences,Class of 2021,76,Holmes
College of Arts and Sciences,Class of 2021,76,Whispers
College of Arts and Sciences,Class of 2021,Sam_Fox,76
College of Arts and Sciences,Class of 2021,Northest_Corner,76
College of Arts and Sciences,Class of 2022,South_40,77
College of Arts and Sciences,Class of 2022,77,BD
College of Arts and Sciences,Class of 2022,77,DUC
College of Arts and Sciences,Class of 2022,Village,77
College of Arts and Sciences,Class of 2022,77,BD
College of Arts and Sciences,Class of 2022,77,Village_Dining
College of Arts and Sciences,Class of 2022,AC_Frat_Row,77
College of Arts and Sciences,Class of 2022,77,BD
College of Arts and Sciences,Class of 2022,77,DUC
College of Arts and Sciences,Class of 2022,77,Village_Dining
College of Arts and Sciences,Class of 2022,Bauer_Law_School,77
College of Arts and Sciences,Class of 2022,DUC_Area,77
College of Arts and Sciences,Class of 2022,77,BD
College of Arts and Sciences,Class of 2022,77,DUC
College of Arts and Sciences,Class of 2022,77,Whispers
College of Arts and Sciences,Class of 2022,Bio_Psych,77
College of Arts and Sciences,Class of 2022,77,Subway
College of Arts and Sciences,Class of 2022,77,Whispers
College of Arts and Sciences,Class of 2022,Chemistry,77
College of Arts and Sciences,Class of 2022,77,DUC
College of Arts and Sciences,Class of 2022,77,Whispers
College of Arts and Sciences,Class of 2022,Engineering_Quad,77
College of Arts and Sciences,Class of 2022,77,BD
College of Arts and Sciences,Class of 2022,Brookings_Quad,77
College of Arts and Sciences,Class of 2022,77,BD
College of Arts and Sciences,Class of 2022,77,DUC
College of Arts and Sciences,Class of 2022,77,Whispers
College of Arts and Sciences,Class of 2022,Brown_School,77
College of Arts and Sciences,Class of 2022,77,DUC
College of Arts and Sciences,Class of 2022,77,Subway
College of Arts and Sciences,Class of 2022,Sam_Fox,77
College of Arts and Sciences,Class of 2022,Northest_Corner,77
College of Arts and Sciences,Class of 2020,South_40,78
College of Arts and Sciences,Class of 2020,78,DUC
College of Arts and Sciences,Class of 2020,Village,78
College of Arts and Sciences,Class of 2020,78,DUC
College of Arts and Sciences,Class of 2020,AC_Frat_Row,78
College of Arts and Sciences,Class of 2020,78,DUC
College of Arts and Sciences,Class of 2020,Bauer_Law_School,78
College of Arts and Sciences,Class of 2020,DUC_Area,78
College of Arts and Sciences,Class of 2020,78,DUC
College of Arts and Sciences,Class of 2020,Bio_Psych,78
College of Arts and Sciences,Class of 2020,78,Stanleys
College of Arts and Sciences,Class of 2020,Chemistry,78
College of Arts and Sciences,Class of 2020,78,Whispers
College of Arts and Sciences,Class of 2020,Engineering_Quad,78
College of Arts and Sciences,Class of 2020,78,DUC
College of Arts and Sciences,Class of 2020,Brookings_Quad,78
College of Arts and Sciences,Class of 2020,78,DUC
College of Arts and Sciences,Class of 2020,Brown_School,78
College of Arts and Sciences,Class of 2020,78,DUC
College of Arts and Sciences,Class of 2020,Sam_Fox,78
College of Arts and Sciences,Class of 2020,Northest_Corner,78
College of Engineering and Applied Sciences,Class of 2019,South_40,79
College of Engineering and Applied Sciences,Class of 2019,79,Einsteins
College of Engineering and Applied Sciences,Class of 2019,Village,79
College of Engineering and Applied Sciences,Class of 2019,79,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2019,AC_Frat_Row,79
College of Engineering and Applied Sciences,Class of 2019,79,Law_School_Cafeteria
College of Engineering and Applied Sciences,Class of 2019,Bauer_Law_School,79
College of Engineering and Applied Sciences,Class of 2019,DUC_Area,79
College of Engineering and Applied Sciences,Class of 2019,Bio_Psych,79
College of Engineering and Applied Sciences,Class of 2019,79,DUC
College of Engineering and Applied Sciences,Class of 2019,Chemistry,79
College of Engineering and Applied Sciences,Class of 2019,Engineering_Quad,79
College of Engineering and Applied Sciences,Class of 2019,79,DUC
College of Engineering and Applied Sciences,Class of 2019,Brookings_Quad,79
College of Engineering and Applied Sciences,Class of 2019,79,DUC
College of Engineering and Applied Sciences,Class of 2019,Brown_School,79
College of Engineering and Applied Sciences,Class of 2019,Sam_Fox,79
College of Engineering and Applied Sciences,Class of 2019,79,DUC
College of Engineering and Applied Sciences,Class of 2019,Northest_Corner,79
College of Engineering and Applied Sciences,Class of 2019,79,Einsteins
College of Engineering and Applied Sciences,Class of 2020,South_40,80
College of Engineering and Applied Sciences,Class of 2020,80,BD
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,Village,80
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,80,Village_Dining
College of Engineering and Applied Sciences,Class of 2020,AC_Frat_Row,80
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,Bauer_Law_School,80
College of Engineering and Applied Sciences,Class of 2020,DUC_Area,80
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,80
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,Chemistry,80
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,Engineering_Quad,80
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,80,Stanleys
College of Engineering and Applied Sciences,Class of 2020,Brookings_Quad,80
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,Brown_School,80
College of Engineering and Applied Sciences,Class of 2020,Sam_Fox,80
College of Engineering and Applied Sciences,Class of 2020,Northest_Corner,80
College of Engineering and Applied Sciences,Class of 2020,80,DUC
College of Engineering and Applied Sciences,Class of 2020,80,Off_Campus
College of Engineering and Applied Sciences,Class of 2020,80,Stanleys
College of Engineering and Applied Sciences,Class of 2020,South_40,81
College of Engineering and Applied Sciences,Class of 2020,81,BD
College of Engineering and Applied Sciences,Class of 2020,Village,81
College of Engineering and Applied Sciences,Class of 2020,81,DUC
College of Engineering and Applied Sciences,Class of 2020,81,Whispers
College of Engineering and Applied Sciences,Class of 2020,AC_Frat_Row,81
College of Engineering and Applied Sciences,Class of 2020,81,DUC
College of Engineering and Applied Sciences,Class of 2020,81,Subway
College of Engineering and Applied Sciences,Class of 2020,81,Whispers
College of Engineering and Applied Sciences,Class of 2020,Bauer_Law_School,81
College of Engineering and Applied Sciences,Class of 2020,DUC_Area,81
College of Engineering and Applied Sciences,Class of 2020,81,DUC
College of Engineering and Applied Sciences,Class of 2020,81,Whispers
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,81
College of Engineering and Applied Sciences,Class of 2020,81,Hillman
College of Engineering and Applied Sciences,Class of 2020,81,Whispers
College of Engineering and Applied Sciences,Class of 2020,Chemistry,81
College of Engineering and Applied Sciences,Class of 2020,Engineering_Quad,81
College of Engineering and Applied Sciences,Class of 2020,81,Stanleys
College of Engineering and Applied Sciences,Class of 2020,81,Whispers
College of Engineering and Applied Sciences,Class of 2020,Brookings_Quad,81
College of Engineering and Applied Sciences,Class of 2020,81,Stanleys
College of Engineering and Applied Sciences,Class of 2020,81,Whispers
College of Engineering and Applied Sciences,Class of 2020,Brown_School,81
College of Engineering and Applied Sciences,Class of 2020,Sam_Fox,81
College of Engineering and Applied Sciences,Class of 2020,Northest_Corner,81
College of Engineering and Applied Sciences,Class of 2019,South_40,82
College of Engineering and Applied Sciences,Class of 2019,82,BD
College of Engineering and Applied Sciences,Class of 2019,Village,82
College of Engineering and Applied Sciences,Class of 2019,82,DUC
College of Engineering and Applied Sciences,Class of 2019,AC_Frat_Row,82
College of Engineering and Applied Sciences,Class of 2019,82,DUC
College of Engineering and Applied Sciences,Class of 2019,Bauer_Law_School,82
College of Engineering and Applied Sciences,Class of 2019,DUC_Area,82
College of Engineering and Applied Sciences,Class of 2019,82,DUC
College of Engineering and Applied Sciences,Class of 2019,Bio_Psych,82
College of Engineering and Applied Sciences,Class of 2019,82,DUC
College of Engineering and Applied Sciences,Class of 2019,Chemistry,82
College of Engineering and Applied Sciences,Class of 2019,Engineering_Quad,82
College of Engineering and Applied Sciences,Class of 2019,Brookings_Quad,82
College of Engineering and Applied Sciences,Class of 2019,82,DUC
College of Engineering and Applied Sciences,Class of 2019,Brown_School,82
College of Engineering and Applied Sciences,Class of 2019,Sam_Fox,82
College of Engineering and Applied Sciences,Class of 2019,Northest_Corner,82
College of Engineering and Applied Sciences,Class of 2020,South_40,83
College of Engineering and Applied Sciences,Class of 2020,83,BD
College of Engineering and Applied Sciences,Class of 2020,Village,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,83,Village_Dining
College of Engineering and Applied Sciences,Class of 2020,AC_Frat_Row,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,83,Village_Dining
College of Engineering and Applied Sciences,Class of 2020,Bauer_Law_School,83
College of Engineering and Applied Sciences,Class of 2020,83,Bauer_Hall_Cafe
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,DUC_Area,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,Bio_Psych,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,Chemistry,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,Engineering_Quad,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,83,Off_Campus
College of Engineering and Applied Sciences,Class of 2020,Brookings_Quad,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,83,Off_Campus
College of Engineering and Applied Sciences,Class of 2020,Brown_School,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,83,Off_Campus
College of Engineering and Applied Sciences,Class of 2020,Sam_Fox,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,Northest_Corner,83
College of Engineering and Applied Sciences,Class of 2020,83,DUC
College of Engineering and Applied Sciences,Class of 2020,83,Off_Campus
College of Engineering and Applied Sciences,Class of 2019,South_40,84
College of Engineering and Applied Sciences,Class of 2019,84,BD
College of Engineering and Applied Sciences,Class of 2019,Village,84
College of Engineering and Applied Sciences,Class of 2019,84,Village_Dining
College of Engineering and Applied Sciences,Class of 2019,AC_Frat_Row,84
College of Engineering and Applied Sciences,Class of 2019,84,Village_Dining
College of Engineering and Applied Sciences,Class of 2019,Bauer_Law_School,84
College of Engineering and Applied Sciences,Class of 2019,DUC_Area,84
College of Engineering and Applied Sciences,Class of 2019,84,DUC
College of Engineering and Applied Sciences,Class of 2019,Bio_Psych,84
College of Engineering and Applied Sciences,Class of 2019,84,DUC
College of Engineering and Applied Sciences,Class of 2019,Chemistry,84
College of Engineering and Applied Sciences,Class of 2019,84,DUC
College of Engineering and Applied Sciences,Class of 2019,Engineering_Quad,84
College of Engineering and Applied Sciences,Class of 2019,84,Stanleys
College of Engineering and Applied Sciences,Class of 2019,Brookings_Quad,84
College of Engineering and Applied Sciences,Class of 2019,Brown_School,84
College of Engineering and Applied Sciences,Class of 2019,Sam_Fox,84
College of Engineering and Applied Sciences,Class of 2019,Northest_Corner,84
College of Engineering and Applied Sciences,Class of 2019,South_40,85
College of Engineering and Applied Sciences,Class of 2019,85,Bauer_Hall_Cafe
College of Engineering and Applied Sciences,Class of 2019,85,Whispers
College of Engineering and Applied Sciences,Class of 2019,Village,85
College of Engineering and Applied Sciences,Class of 2019,85,DUC
College of Engineering and Applied Sciences,Class of 2019,85,Loop_Dining
College of Engineering and Applied Sciences,Class of 2019,AC_Frat_Row,85
College of Engineering and Applied Sciences,Class of 2019,85,DUC
College of Engineering and Applied Sciences,Class of 2019,85,Off_Campus
College of Engineering and Applied Sciences,Class of 2019,85,Subway
College of Engineering and Applied Sciences,Class of 2019,85,Whispers
College of Engineering and Applied Sciences,Class of 2019,Bauer_Law_School,85
College of Engineering and Applied Sciences,Class of 2019,85,DUC
College of Engineering and Applied Sciences,Class of 2019,85,Off_Campus
College of Engineering and Applied Sciences,Class of 2019,85,Loop_Dining
College of Engineering and Applied Sciences,Class of 2019,DUC_Area,85
College of Engineering and Applied Sciences,Class of 2019,85,BD
College of Engineering and Applied Sciences,Class of 2019,85,Whispers
College of Engineering and Applied Sciences,Class of 2019,Bio_Psych,85
College of Engineering and Applied Sciences,Class of 2019,85,Whispers
College of Engineering and Applied Sciences,Class of 2019,Chemistry,85
College of Engineering and Applied Sciences,Class of 2019,Engineering_Quad,85
College of Engineering and Applied Sciences,Class of 2019,85,DUC
College of Engineering and Applied Sciences,Class of 2019,85,Whispers
College of Engineering and Applied Sciences,Class of 2019,Brookings_Quad,85
College of Engineering and Applied Sciences,Class of 2019,85,Bauer_Hall_Cafe
College of Engineering and Applied Sciences,Class of 2019,85,DUC
College of Engineering and Applied Sciences,Class of 2019,85,Off_Campus
College of Engineering and Applied Sciences,Class of 2019,85,Whispers
College of Engineering and Applied Sciences,Class of 2019,Brown_School,85
College of Engineering and Applied Sciences,Class of 2019,Sam_Fox,85
College of Engineering and Applied Sciences,Class of 2019,Northest_Corner,85
College of Arts and Sciences,Class of 2020,South_40,86
College of Arts and Sciences,Class of 2020,86,BD
College of Arts and Sciences,Class of 2020,Village,86
College of Arts and Sciences,Class of 2020,86,Village_Dining
College of Arts and Sciences,Class of 2020,AC_Frat_Row,86
College of Arts and Sciences,Class of 2020,86,DUC
College of Arts and Sciences,Class of 2020,86,Law_School_Cafeteria
College of Arts and Sciences,Class of 2020,86,Village_Dining
College of Arts and Sciences,Class of 2020,Bauer_Law_School,86
College of Arts and Sciences,Class of 2020,86,Hillman
College of Arts and Sciences,Class of 2020,86,Law_School_Cafeteria
College of Arts and Sciences,Class of 2020,DUC_Area,86
College of Arts and Sciences,Class of 2020,Bio_Psych,86
College of Arts and Sciences,Class of 2020,86,DUC
College of Arts and Sciences,Class of 2020,86,Holmes
College of Arts and Sciences,Class of 2020,Chemistry,86
College of Arts and Sciences,Class of 2020,Engineering_Quad,86
College of Arts and Sciences,Class of 2020,Brookings_Quad,86
College of Arts and Sciences,Class of 2020,Brown_School,86
College of Arts and Sciences,Class of 2020,Sam_Fox,86
College of Arts and Sciences,Class of 2020,Northest_Corner,86
College of Arts and Sciences,Class of 2022,South_40,87
College of Arts and Sciences,Class of 2022,87,BD
College of Arts and Sciences,Class of 2022,87,DUC
College of Arts and Sciences,Class of 2022,87,Einsteins
College of Arts and Sciences,Class of 2022,Village,87
College of Arts and Sciences,Class of 2022,87,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2022,AC_Frat_Row,87
College of Arts and Sciences,Class of 2022,87,Village_Dining
College of Arts and Sciences,Class of 2022,Bauer_Law_School,87
College of Arts and Sciences,Class of 2022,87,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2022,87,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,DUC_Area,87
College of Arts and Sciences,Class of 2022,87,Einsteins
College of Arts and Sciences,Class of 2022,Bio_Psych,87
College of Arts and Sciences,Class of 2022,Chemistry,87
College of Arts and Sciences,Class of 2022,Engineering_Quad,87
College of Arts and Sciences,Class of 2022,87,Holmes
College of Arts and Sciences,Class of 2022,87,Whispers
College of Arts and Sciences,Class of 2022,Brookings_Quad,87
College of Arts and Sciences,Class of 2022,Brown_School,87
College of Arts and Sciences,Class of 2022,Sam_Fox,87
College of Arts and Sciences,Class of 2022,87,Off_Campus
College of Arts and Sciences,Class of 2022,Northest_Corner,87
College of Arts and Sciences,Class of 2019,South_40,88
College of Arts and Sciences,Class of 2019,88,BD
College of Arts and Sciences,Class of 2019,88,Whispers
College of Arts and Sciences,Class of 2019,Village,88
College of Arts and Sciences,Class of 2019,88,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2019,88,Law_School_Cafeteria
College of Arts and Sciences,Class of 2019,88,Village_Dining
College of Arts and Sciences,Class of 2019,AC_Frat_Row,88
College of Arts and Sciences,Class of 2019,88,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2019,88,Einsteins
College of Arts and Sciences,Class of 2019,88,Village_Dining
College of Arts and Sciences,Class of 2019,Bauer_Law_School,88
College of Arts and Sciences,Class of 2019,88,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2019,88,DUC
College of Arts and Sciences,Class of 2019,88,Einsteins
College of Arts and Sciences,Class of 2019,88,Law_School_Cafeteria
College of Arts and Sciences,Class of 2019,DUC_Area,88
College of Arts and Sciences,Class of 2019,88,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2019,88,DUC
College of Arts and Sciences,Class of 2019,88,Einsteins
College of Arts and Sciences,Class of 2019,88,Law_School_Cafeteria
College of Arts and Sciences,Class of 2019,88,Village_Dining
College of Arts and Sciences,Class of 2019,Bio_Psych,88
College of Arts and Sciences,Class of 2019,Chemistry,88
College of Arts and Sciences,Class of 2019,Engineering_Quad,88
College of Arts and Sciences,Class of 2019,Brookings_Quad,88
College of Arts and Sciences,Class of 2019,88,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2019,88,Einsteins
College of Arts and Sciences,Class of 2019,88,Subway
College of Arts and Sciences,Class of 2019,88,Village_Dining
College of Arts and Sciences,Class of 2019,Brown_School,88
College of Arts and Sciences,Class of 2019,Sam_Fox,88
College of Arts and Sciences,Class of 2019,Northest_Corner,88
College of Arts and Sciences,Class of 2022,South_40,89
College of Arts and Sciences,Class of 2022,89,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,Village,89
College of Arts and Sciences,Class of 2022,89,Law_School_Cafeteria
College of Arts and Sciences,Class of 2022,AC_Frat_Row,89
College of Arts and Sciences,Class of 2022,89,BD
College of Arts and Sciences,Class of 2022,Bauer_Law_School,89
College of Arts and Sciences,Class of 2022,89,DUC
College of Arts and Sciences,Class of 2022,89,Einsteins
College of Arts and Sciences,Class of 2022,DUC_Area,89
College of Arts and Sciences,Class of 2022,89,Holmes
College of Arts and Sciences,Class of 2022,89,Whispers
College of Arts and Sciences,Class of 2022,Bio_Psych,89
College of Arts and Sciences,Class of 2022,Chemistry,89
College of Arts and Sciences,Class of 2022,89,Einsteins
College of Arts and Sciences,Class of 2022,Engineering_Quad,89
College of Arts and Sciences,Class of 2022,Brookings_Quad,89
College of Arts and Sciences,Class of 2022,89,DUC
College of Arts and Sciences,Class of 2022,Brown_School,89
College of Arts and Sciences,Class of 2022,89,Holmes
College of Arts and Sciences,Class of 2022,Sam_Fox,89
College of Arts and Sciences,Class of 2022,Northest_Corner,89
Olin Business School,Class of 2022,South_40,90
Olin Business School,Class of 2022,90,Whispers
Olin Business School,Class of 2022,Village,90
Olin Business School,Class of 2022,90,Bauer_Hall_Cafe
Olin Business School,Class of 2022,90,Whispers
Olin Business School,Class of 2022,AC_Frat_Row,90
Olin Business School,Class of 2022,90,BD
Olin Business School,Class of 2022,90,DUC
Olin Business School,Class of 2022,Bauer_Law_School,90
Olin Business School,Class of 2022,90,DUC
Olin Business School,Class of 2022,90,Einsteins
Olin Business School,Class of 2022,90,Whispers
Olin Business School,Class of 2022,DUC_Area,90
Olin Business School,Class of 2022,90,Bauer_Hall_Cafe
Olin Business School,Class of 2022,90,BD
Olin Business School,Class of 2022,90,DUC
Olin Business School,Class of 2022,90,Einsteins
Olin Business School,Class of 2022,90,Whispers
Olin Business School,Class of 2022,Bio_Psych,90
Olin Business School,Class of 2022,90,Holmes
Olin Business School,Class of 2022,90,Whispers
Olin Business School,Class of 2022,Chemistry,90
Olin Business School,Class of 2022,90,Holmes
Olin Business School,Class of 2022,90,Whispers
Olin Business School,Class of 2022,Engineering_Quad,90
Olin Business School,Class of 2022,90,Whispers
Olin Business School,Class of 2022,Brookings_Quad,90
Olin Business School,Class of 2022,90,Holmes
Olin Business School,Class of 2022,90,Whispers
Olin Business School,Class of 2022,Brown_School,90
Olin Business School,Class of 2022,90,Holmes
Olin Business School,Class of 2022,Sam_Fox,90
Olin Business School,Class of 2022,Northest_Corner,90
College of Arts and Sciences,Class of 2020,South_40,91
College of Arts and Sciences,Class of 2020,91,DUC
College of Arts and Sciences,Class of 2020,Village,91
College of Arts and Sciences,Class of 2020,91,Bauer_Hall_Cafe
College of Arts and Sciences,Class of 2020,AC_Frat_Row,91
College of Arts and Sciences,Class of 2020,91,DUC
College of Arts and Sciences,Class of 2020,Bauer_Law_School,91
College of Arts and Sciences,Class of 2020,91,Whispers
College of Arts and Sciences,Class of 2020,DUC_Area,91
College of Arts and Sciences,Class of 2020,91,DUC
College of Arts and Sciences,Class of 2020,Bio_Psych,91
College of Arts and Sciences,Class of 2020,91,Whispers
College of Arts and Sciences,Class of 2020,Chemistry,91
College of Arts and Sciences,Class of 2020,91,Whispers
College of Arts and Sciences,Class of 2020,Engineering_Quad,91
College of Arts and Sciences,Class of 2020,91,Stanleys
College of Arts and Sciences,Class of 2020,Brookings_Quad,91
College of Arts and Sciences,Class of 2020,91,Off_Campus
College of Arts and Sciences,Class of 2020,Brown_School,91
College of Arts and Sciences,Class of 2020,91,Hillman
College of Arts and Sciences,Class of 2020,Sam_Fox,91
College of Arts and Sciences,Class of 2020,91,Ettas
College of Arts and Sciences,Class of 2020,Northest_Corner,91
Olin Business School,Class of 2019,South_40,92
Olin Business School,Class of 2019,92,BD
Olin Business School,Class of 2019,Village,92
Olin Business School,Class of 2019,92,Bauer_Hall_Cafe
Olin Business School,Class of 2019,AC_Frat_Row,92
Olin Business School,Class of 2019,92,DUC
Olin Business School,Class of 2019,Bauer_Law_School,92
Olin Business School,Class of 2019,92,Bauer_Hall_Cafe
Olin Business School,Class of 2019,DUC_Area,92
Olin Business School,Class of 2019,92,DUC
